application,approval,uid,gender,bal,prod_list,item,seq_len,item_neg
1,1,1841,1,71507,"7,62,84",41,3,81
0,0,1671,1,10982,"56,20,88",44,3,84
0,1,1570,2,98626,"77,63,88",90,3,31
1,0,190,1,61519,"34,85,41",21,3,99
0,0,1176,2,60597,"80,48,15",78,3,70
0,1,390,1,20425,"94,81,18",36,3,48
0,0,1157,1,58398,"67,25,11",71,3,89
1,0,1018,1,82403,"35,23,19",73,3,77
0,1,223,1,47454,"40,37,36",31,3,59
0,1,1151,2,86682,"67,13,60",45,3,22
0,1,1421,1,16138,"68,11,34",6,3,65
1,1,1360,2,19538,"36,44,8",81,3,89
0,0,121,1,78873,"60,98,56",57,3,3
0,1,1526,1,10307,"60,100,100",75,3,54
0,1,1349,2,58328,"53,17,67",60,3,35
0,1,872,1,25425,"27,49,69",12,3,69
1,0,463,1,80105,"68,77,78",68,3,45
0,0,910,1,57661,"71,29,10",100,3,65
0,1,206,1,38498,"23,83,20",41,3,79
0,0,1923,1,27873,"57,40,81",39,3,34
0,1,1787,1,93524,"65,4,57",34,3,48
0,1,221,2,86859,"4,27,34",14,3,90
1,1,1005,2,76284,"22,46,19",72,3,21
0,0,1095,2,52585,"2,3,49",30,3,88
1,1,459,2,97805,"88,35,90",94,3,30
0,1,1729,1,11574,"64,22,59",58,3,60
0,1,354,1,32633,"10,42,85",42,3,82
0,0,1581,1,86135,"1,22,76",88,3,80
1,1,1141,2,96511,"0,35,90",80,3,40
1,1,269,2,62846,"24,50,66",70,3,7
0,0,59,1,36609,"85,63,6",23,3,70
1,1,1954,2,63950,"10,62,11",82,3,57
1,1,1584,1,87102,"52,8,42",9,3,96
1,0,240,1,93120,"2,61,23",46,3,89
1,0,488,1,23941,"71,63,48",24,3,96
0,0,1790,2,36200,"58,59,3",61,3,64
1,1,849,1,14594,"29,30,99",2,3,64
1,1,1902,1,60921,"100,55,88",93,3,70
0,1,1205,1,69233,"91,100,60",38,3,54
1,0,446,1,40831,"2,12,24",17,3,83
0,0,1984,1,26901,"32,25,69",20,3,97
1,1,732,1,75840,"25,14,76",16,3,60
1,0,47,1,89699,"43,26,39",49,3,99
1,0,904,2,38482,"89,62,10",85,3,94
1,1,171,2,98265,"69,99,18",63,3,83
0,1,493,2,17409,"78,43,39",26,3,2
0,1,150,2,57884,"91,8,66",20,3,2
0,1,1006,1,98638,"8,67,34",19,3,23
1,0,1611,2,78911,"80,97,65",73,3,1
0,1,1841,2,10252,"40,16,83",52,3,92
1,0,411,1,79665,"11,3,71",63,3,43
0,0,1870,2,58455,"8,49,34",2,3,0
0,0,1005,2,26667,"21,90,42",44,3,25
1,1,43,2,38355,"5,10,79",85,3,50
1,1,702,1,83617,"56,84,30",37,3,39
0,1,1565,1,81771,"18,5,33",66,3,25
1,0,203,2,78588,"79,75,76",35,3,88
1,0,599,1,21845,"68,83,80",66,3,14
0,1,643,1,49199,"29,99,33",22,3,76
0,0,974,2,23866,"48,35,56",52,3,35
1,1,1059,1,84761,"71,92,35",6,3,74
0,1,1258,1,72164,"75,92,12",83,3,74
1,0,1169,1,93454,"61,2,48",1,3,27
1,1,1954,1,51628,"51,43,87",8,3,67
1,1,1730,2,14401,"1,96,66",28,3,4
1,0,1538,1,47804,"30,73,20",31,3,36
0,1,1754,2,96059,"7,74,91",92,3,56
1,0,72,2,62460,"7,18,41",47,3,39
0,1,1581,1,32054,"27,95,73",42,3,62
0,1,1143,2,40763,"83,84,95",23,3,10
1,0,1221,2,78863,"2,56,73",51,3,17
1,0,42,2,18883,"96,3,79",44,3,30
1,0,510,1,19662,"33,69,73",77,3,65
1,1,1498,2,20577,"56,46,64",8,3,39
1,1,1297,1,77865,"0,7,93",14,3,3
1,0,1214,1,73709,"27,9,98",35,3,25
0,0,697,1,73380,"23,47,82",10,3,10
1,1,1081,1,56948,"45,98,13",79,3,44
1,0,1947,1,83583,"10,77,91",62,3,45
1,1,485,1,27029,"23,52,46",71,3,74
0,0,1460,1,80533,"54,93,46",81,3,4
0,0,585,1,16894,"27,98,50",97,3,48
0,1,967,2,83237,"64,42,21",100,3,46
0,0,1678,1,32350,"2,17,99",69,3,56
0,0,1904,1,14733,"65,76,63",33,3,47
0,1,987,2,37026,"40,28,94",67,3,71
0,1,1276,1,51184,"81,78,84",96,3,48
0,1,162,2,18333,"44,19,9",12,3,16
1,0,262,1,33650,"77,2,19",50,3,4
0,0,1744,2,99021,"36,79,82",16,3,79
0,1,1535,1,34133,"0,64,66",15,3,8
0,1,136,1,91202,"97,81,15",44,3,72
0,0,980,1,88842,"70,15,63",28,3,48
0,0,238,2,48995,"91,23,58",11,3,90
0,0,1139,1,89712,"72,0,32",14,3,31
0,1,1907,1,67765,"47,65,52",54,3,97
0,1,661,1,57344,"47,81,23",26,3,86
1,1,858,1,15602,"92,36,20",21,3,11
1,0,200,1,82776,"75,11,30",62,3,78
0,1,875,1,28436,"63,64,62",97,3,30
0,1,1493,2,20659,"96,64,67",43,3,89
0,0,1981,1,63845,"34,88,11",74,3,58
1,0,1091,1,72189,"93,17,46",76,3,39
0,1,1962,2,78012,"71,47,56",95,3,83
0,0,1192,2,41454,"52,71,92",67,3,86
1,0,1826,2,15034,"52,54,18",50,3,79
1,1,1518,2,54980,"63,15,37",76,3,38
0,1,177,1,63873,"75,79,8",74,3,33
1,0,1836,2,54763,"70,68,93",15,3,81
1,1,1535,2,27204,"5,5,65",45,3,36
0,1,1638,1,41874,"79,7,63",50,3,10
1,1,694,2,92558,"39,99,9",21,3,76
1,1,1064,1,70838,"39,69,99",64,3,29
0,1,319,2,24360,"52,75,74",97,3,55
1,0,188,2,28585,"68,68,6",22,3,29
1,1,1495,1,66584,"30,78,16",79,3,41
1,0,108,1,77104,"62,34,38",100,3,22
0,0,1689,1,52377,"72,0,73",66,3,23
0,0,1330,1,87480,"88,34,30",17,3,81
1,0,1178,1,16856,"64,45,4",75,3,11
0,1,1181,2,12554,"33,77,78",44,3,61
0,0,1885,1,47865,"34,58,97",61,3,65
1,1,1732,2,64430,"85,65,38",8,3,37
1,0,444,1,63999,"15,54,44",62,3,49
1,0,905,1,66107,"72,22,21",79,3,86
0,0,165,1,89892,"0,37,77",25,3,11
0,1,1880,2,34740,"45,0,64",7,3,44
1,1,1773,2,55574,"33,64,32",11,3,39
0,0,1179,2,45920,"93,25,37",14,3,78
1,1,1660,2,85676,"87,93,19",84,3,48
1,0,53,2,34688,"86,61,91",83,3,32
0,1,1202,2,52263,"44,43,67",58,3,37
0,0,1071,1,10289,"6,98,76",79,3,19
0,1,933,1,54268,"91,47,48",11,3,70
1,1,1380,1,21129,"18,82,76",36,3,53
1,1,534,1,74543,"59,27,44",46,3,91
0,1,1336,1,25317,"2,59,100",90,3,25
0,0,1781,2,37483,"35,90,92",85,3,15
1,1,1850,1,96187,"81,98,67",39,3,76
0,0,239,2,81171,"26,33,61",84,3,3
0,1,1585,1,64158,"24,19,78",25,3,22
0,0,1507,1,11358,"86,15,54",53,3,89
0,0,1035,2,61878,"55,38,84",83,3,20
0,1,140,1,49150,"27,38,34",4,3,28
1,1,627,2,62974,"63,67,21",72,3,68
0,0,248,1,25536,"92,38,82",10,3,18
0,1,968,2,13365,"12,17,89",26,3,35
1,0,424,1,69099,"21,47,82",8,3,76
1,0,57,2,92336,"60,4,1",11,3,12
1,1,494,2,14381,"46,78,46",36,3,36
1,1,1053,1,69210,"99,92,36",58,3,67
0,1,300,2,49507,"50,32,67",70,3,27
0,0,978,1,61445,"73,69,59",86,3,24
0,0,1529,2,22070,"15,39,12",57,3,10
1,0,1462,2,49538,"88,42,67",45,3,67
1,0,1491,1,50082,"96,99,49",35,3,65
1,1,496,2,71342,"29,67,88",9,3,14
0,1,130,2,12295,"30,37,41",67,3,32
0,1,1795,1,36477,"79,61,94",98,3,40
1,0,227,1,63912,"58,57,65",61,3,21
1,0,713,1,13351,"20,86,84",15,3,59
0,0,1310,1,40194,"11,54,81",81,3,86
0,0,1468,1,66144,"70,92,57",95,3,47
1,1,1746,2,52636,"16,13,15",54,3,50
0,0,972,1,34212,"87,35,19",3,3,66
1,0,650,2,73189,"20,5,74",14,3,98
1,1,1027,1,29949,"81,28,2",44,3,2
1,0,1703,1,95830,"13,27,88",36,3,96
0,1,1963,2,94144,"96,61,1",2,3,62
1,1,873,1,31746,"71,35,74",95,3,53
0,0,1578,2,56556,"14,17,67",27,3,42
0,0,210,2,50536,"72,58,29",40,3,37
0,1,1959,1,90871,"68,52,38",84,3,45
0,0,154,1,36073,"59,46,40",5,3,32
0,0,1313,2,16602,"14,27,5",86,3,20
0,1,988,1,23063,"38,64,87",24,3,60
1,0,1575,2,32815,"23,2,78",12,3,38
0,1,1521,2,80327,"67,14,35",50,3,68
1,0,1151,1,11139,"87,55,100",97,3,54
1,0,1436,1,50081,"62,12,25",8,3,46
1,1,856,1,79733,"53,78,92",94,3,51
0,1,1168,2,84478,"85,42,32",23,3,43
1,0,634,2,48191,"15,26,69",77,3,85
0,1,813,1,97683,"50,90,89",50,3,0
1,0,1299,1,75174,"12,32,44",25,3,35
0,1,1370,2,38303,"83,16,63",98,3,7
1,1,1296,2,58825,"83,75,98",76,3,7
0,0,1069,1,43494,"14,19,2",24,3,11
0,1,1611,2,93293,"44,74,93",69,3,88
1,1,945,1,89783,"82,53,41",1,3,52
1,1,287,2,77981,"7,53,2",28,3,89
0,0,389,2,31164,"75,72,86",66,3,35
0,0,1518,2,20021,"68,54,22",77,3,84
0,0,1720,2,96944,"87,91,36",93,3,51
1,1,1161,1,11206,"58,5,93",76,3,49
1,0,1964,1,21175,"36,53,86",49,3,52
1,0,916,1,75959,"33,70,65",78,3,80
0,0,602,2,82062,"25,4,73",86,3,42
1,0,1950,2,41520,"63,50,11",7,3,37
0,0,1301,1,33367,"4,82,100",61,3,67
1,0,219,2,94013,"64,12,50",12,3,28
0,1,694,2,49242,"25,77,84",53,3,92
1,0,392,1,61594,"46,70,16",3,3,22
1,0,6,1,67523,"49,24,84",6,3,60
0,1,375,2,43658,"92,86,94",6,3,13
0,1,1107,1,64948,"45,81,63",52,3,5
0,1,93,2,56024,"78,1,43",30,3,71
1,1,1528,1,39489,"57,76,43",73,3,66
1,0,1961,2,60380,"11,28,89",51,3,31
1,0,1958,2,89268,"11,85,70",63,3,25
0,1,1749,1,87080,"8,79,12",16,3,13
1,0,792,2,52606,"35,11,6",92,3,17
1,1,1473,1,33686,"76,8,51",71,3,61
1,1,746,1,66880,"94,77,8",46,3,99
1,0,789,1,12502,"10,29,53",23,3,73
1,1,1381,2,63540,"74,93,58",55,3,39
0,1,1598,1,67031,"4,75,95",32,3,5
1,0,564,2,99538,"17,0,14",13,3,58
1,0,591,1,32992,"25,32,22",19,3,54
1,1,1410,2,51342,"44,55,86",64,3,37
1,0,220,2,52465,"42,38,88",18,3,88
0,1,350,1,17752,"60,76,39",24,3,89
0,0,946,1,34357,"47,89,75",12,3,87
1,1,987,1,16653,"93,55,80",98,3,27
0,1,1107,2,37297,"26,75,90",29,3,95
1,1,875,1,13957,"25,20,6",7,3,11
1,0,973,1,82010,"30,24,65",48,3,96
1,1,1165,2,78758,"34,13,30",68,3,92
1,1,189,1,17261,"59,100,15",9,3,76
0,1,389,1,34760,"55,79,87",38,3,64
0,1,847,2,36931,"54,19,7",8,3,60
0,0,317,1,95727,"91,28,88",60,3,53
0,1,158,2,97281,"68,23,10",91,3,19
0,1,32,1,77681,"26,39,25",45,3,97
0,0,1675,1,78425,"100,24,60",33,3,38
1,0,1073,2,83910,"60,91,18",78,3,31
0,1,128,1,58845,"37,32,0",94,3,96
1,1,457,1,94243,"14,28,97",43,3,48
1,1,1093,1,14146,"63,38,4",95,3,5
0,1,1441,1,42418,"16,6,91",87,3,17
1,0,1389,2,39551,"73,14,5",49,3,39
0,1,354,1,45477,"63,57,86",12,3,6
0,1,945,1,40046,"44,10,54",25,3,5
1,1,629,2,70044,"5,23,52",66,3,50
0,1,347,1,71130,"88,83,52",74,3,49
0,1,1201,2,14556,"68,63,25",38,3,39
1,0,271,2,74623,"61,50,52",75,3,26
1,0,1140,1,51284,"92,58,24",40,3,89
1,0,682,1,81672,"27,1,91",57,3,69
0,0,1724,1,79688,"50,83,53",3,3,3
0,1,267,2,36075,"70,17,61",68,3,28
1,1,56,2,65395,"44,17,5",87,3,48
0,1,1950,1,93468,"38,55,66",26,3,80
1,1,1119,2,80196,"3,86,11",76,3,88
0,0,167,1,80858,"52,9,65",32,3,68
0,0,1045,2,16795,"27,48,69",11,3,4
0,1,1694,2,25048,"68,54,39",87,3,54
0,0,1867,1,90945,"40,59,47",40,3,90
0,1,1977,2,40252,"98,1,65",84,3,8
1,0,345,1,37262,"23,68,33",6,3,59
1,0,965,1,39735,"60,61,74",48,3,97
0,1,825,1,94753,"78,39,74",83,3,97
0,0,353,2,90959,"11,98,54",4,3,93
0,0,1179,2,61280,"79,77,29",26,3,18
1,1,528,1,96267,"36,38,42",16,3,48
0,1,551,1,73031,"63,19,60",47,3,69
1,1,417,1,90229,"5,25,82",76,3,22
0,0,1739,2,30118,"50,95,89",88,3,75
1,0,356,1,53364,"48,81,21",4,3,50
0,1,482,2,22937,"60,19,55",92,3,67
1,1,490,2,52573,"36,58,1",81,3,2
1,1,1389,1,90322,"75,47,80",44,3,51
1,0,320,2,79042,"77,42,66",74,3,99
1,0,1013,1,83559,"69,14,68",74,3,34
0,0,189,2,81395,"98,86,30",19,3,62
0,0,774,2,36501,"23,61,94",35,3,38
1,1,950,1,69664,"54,0,72",95,3,18
1,1,434,1,65962,"21,22,24",53,3,34
0,0,1823,2,33871,"42,60,46",21,3,21
1,1,1857,1,87564,"28,88,29",27,3,53
1,0,1204,2,27129,"72,22,23",66,3,32
0,0,691,2,70809,"93,83,64",36,3,85
1,0,932,2,53037,"60,97,84",94,3,2
1,0,2,2,97968,"29,73,49",47,3,17
0,1,1900,2,67227,"33,40,90",79,3,65
1,0,1598,1,86082,"63,81,15",79,3,33
1,1,1941,2,59576,"58,39,87",42,3,11
0,0,1313,1,71267,"53,50,2",21,3,1
1,1,1609,1,24402,"35,34,79",57,3,50
0,1,938,1,19853,"63,46,82",95,3,97
0,0,1583,2,65069,"18,48,30",42,3,14
1,1,1280,1,11344,"53,100,49",29,3,89
1,0,788,1,75078,"95,93,20",26,3,26
0,0,1375,1,46335,"83,47,98",25,3,25
1,0,1611,2,62172,"100,61,13",39,3,99
1,0,728,1,58567,"0,90,97",41,3,48
1,0,493,1,90446,"85,51,48",11,3,72
1,0,1145,2,65677,"16,51,6",61,3,96
0,1,544,1,72079,"2,85,74",10,3,16
0,1,1066,1,82101,"82,100,44",50,3,1
1,1,1504,2,86843,"87,63,10",31,3,64
0,1,1254,1,80383,"33,4,33",95,3,7
0,0,1070,2,21173,"71,61,11",24,3,59
1,0,147,1,84167,"75,53,60",39,3,22
1,0,1352,1,78099,"93,56,8",41,3,66
0,1,300,1,96522,"73,87,32",42,3,15
0,0,1368,1,54609,"7,87,42",97,3,79
0,1,836,1,88202,"93,20,17",7,3,75
0,1,1454,1,10838,"78,44,91",55,3,9
0,1,853,1,99573,"99,73,64",68,3,70
0,0,1270,2,48412,"15,36,71",72,3,47
1,1,982,2,99892,"14,85,98",71,3,7
0,1,492,2,15880,"34,73,78",74,3,88
0,1,1188,1,26608,"32,35,83",74,3,59
0,0,966,1,85126,"49,64,98",53,3,52
1,1,897,2,78004,"42,69,49",23,3,46
1,1,1489,1,89112,"86,28,99",46,3,77
1,1,705,2,24374,"11,60,62",7,3,28
1,1,938,1,15857,"12,64,73",21,3,2
1,0,40,2,51873,"60,66,92",63,3,89
1,1,1392,2,77054,"41,16,36",85,3,49
1,0,343,2,34174,"91,33,32",92,3,12
0,1,701,2,26433,"92,2,79",38,3,78
0,0,57,2,93668,"30,4,36",68,3,4
1,0,586,1,40286,"49,94,82",57,3,31
0,0,599,2,15598,"90,97,6",71,3,57
0,0,642,1,65633,"93,20,50",97,3,6
0,1,1329,2,90684,"95,75,38",23,3,8
1,0,1045,2,57087,"18,37,62",20,3,12
1,1,1659,1,75804,"40,84,32",54,3,47
1,1,938,1,19144,"76,51,6",85,3,96
0,0,1293,2,90161,"4,67,86",99,3,37
0,1,1676,2,66575,"52,57,73",32,3,68
1,0,1275,1,39231,"97,87,70",88,3,13
1,0,1392,2,40611,"79,21,56",86,3,24
0,1,734,1,82844,"93,42,70",35,3,93
1,1,1049,2,75512,"30,98,39",47,3,22
0,0,1592,2,24918,"22,76,17",7,3,14
1,0,767,2,96184,"68,57,70",68,3,54
1,1,1886,2,43263,"72,2,41",84,3,52
0,0,638,1,10628,"64,16,86",45,3,70
1,1,300,1,30768,"63,82,61",22,3,51
0,1,1113,2,91090,"79,65,52",76,3,24
1,1,1239,2,70792,"97,56,78",6,3,84
1,1,829,1,99924,"13,97,60",23,3,49
0,1,138,1,82805,"48,62,77",70,3,57
1,1,57,1,79097,"39,37,38",10,3,68
1,1,1115,1,71710,"23,32,34",15,3,29
0,0,325,1,55567,"39,95,2",74,3,89
0,0,1853,1,60025,"15,5,61",51,3,1
0,1,1945,2,39001,"89,66,43",12,3,4
1,1,1622,1,25390,"89,14,92",41,3,99
0,0,1555,1,63247,"23,79,31",27,3,53
1,1,1920,1,64714,"90,16,79",44,3,7
0,1,1016,1,78829,"52,3,45",14,3,21
0,1,268,2,61291,"95,82,94",79,3,54
0,1,1517,1,48773,"24,41,14",89,3,64
0,0,290,2,37946,"60,30,49",7,3,45
1,1,46,2,94541,"72,93,45",100,3,70
0,1,487,1,71988,"26,29,55",92,3,67
0,1,1275,2,17233,"50,44,71",61,3,47
1,1,937,1,48645,"89,12,40",4,3,52
0,1,803,2,16084,"66,13,62",20,3,36
0,1,1795,1,61516,"73,34,83",50,3,26
0,0,1972,2,25009,"18,14,51",2,3,51
0,0,40,2,66620,"91,12,41",52,3,46
0,0,1234,1,44608,"10,17,58",83,3,18
0,1,724,2,87974,"99,18,38",96,3,71
0,1,685,1,92718,"97,48,86",29,3,74
0,1,310,2,84864,"8,51,29",71,3,44
0,1,453,1,21298,"43,40,95",4,3,4
1,1,1720,2,86381,"91,76,5",16,3,23
1,1,615,2,84381,"24,100,86",71,3,51
1,0,879,1,87358,"17,9,98",26,3,89
1,0,831,2,49671,"6,16,65",35,3,49
1,1,1382,2,28599,"74,56,5",90,3,63
1,1,396,2,72837,"27,97,28",14,3,19
1,1,677,1,16925,"23,92,40",54,3,15
0,0,555,2,81566,"91,15,72",18,3,30
0,0,1983,1,37373,"24,14,76",12,3,45
0,0,419,1,56914,"69,24,49",48,3,18
1,0,1072,2,99382,"44,89,4",41,3,85
1,0,1139,2,94919,"29,54,29",68,3,25
1,0,862,2,32224,"85,69,1",40,3,84
0,0,1577,2,45276,"20,33,19",30,3,4
1,1,331,2,90878,"33,79,22",64,3,59
1,0,665,1,15078,"10,67,10",41,3,53
0,1,1877,2,95253,"90,47,64",100,3,36
0,1,959,1,87439,"13,14,86",85,3,65
1,1,1278,1,71579,"29,75,74",79,3,80
0,0,1040,1,86947,"61,88,70",47,3,97
1,0,742,2,49747,"51,5,26",4,3,69
0,1,1931,1,87659,"19,7,100",7,3,9
0,0,858,1,34138,"48,17,62",82,3,76
0,1,203,1,52051,"5,31,42",71,3,4
0,1,558,1,53923,"24,64,64",90,3,83
0,0,99,1,55417,"7,80,37",19,3,32
0,0,1822,1,79058,"98,72,65",77,3,54
0,0,1015,2,97215,"82,9,86",24,3,56
1,0,1018,2,50642,"51,70,72",36,3,51
0,0,613,1,64717,"44,100,65",53,3,65
1,0,135,1,35517,"8,96,53",71,3,52
1,0,537,1,30378,"64,75,71",11,3,84
1,0,431,1,74913,"88,94,65",37,3,11
0,1,965,2,12301,"47,71,99",47,3,38
1,0,1717,1,52249,"11,38,24",25,3,94
1,1,1554,2,95006,"60,27,49",85,3,75
0,0,414,1,58054,"57,11,11",32,3,31
1,0,1610,1,49572,"81,6,24",1,3,14
1,0,1923,2,83840,"59,30,97",9,3,70
0,0,15,2,62145,"59,95,29",12,3,38
0,1,58,1,37704,"43,20,22",7,3,57
1,1,1539,2,47312,"11,7,73",42,3,68
0,0,1984,2,16384,"91,79,33",22,3,51
0,1,224,1,43160,"51,46,53",5,3,15
1,1,186,1,25507,"31,29,88",13,3,49
0,1,1604,2,51964,"56,49,35",67,3,74
1,0,967,2,52439,"44,99,47",60,3,65
1,0,1084,2,34871,"12,88,67",2,3,28
1,0,134,2,68157,"65,43,14",55,3,92
1,0,1862,1,86635,"53,75,13",71,3,86
1,1,1185,2,55372,"28,75,20",96,3,98
0,0,1341,2,11572,"64,37,28",37,3,83
1,0,958,1,33014,"40,44,73",62,3,30
1,0,743,1,98064,"96,14,33",97,3,98
1,0,56,2,65631,"49,47,11",22,3,25
1,1,1866,2,38428,"32,13,31",79,3,31
0,1,535,2,67914,"45,40,2",31,3,52
1,1,1665,2,36816,"30,12,70",23,3,2
0,1,1184,1,33524,"81,44,77",43,3,24
0,1,658,2,68036,"87,25,33",3,3,11
0,0,1600,2,62556,"8,35,38",28,3,98
0,0,1008,1,95330,"20,24,11",17,3,88
1,0,1526,2,86476,"98,75,48",93,3,17
1,0,1187,2,66150,"37,0,50",60,3,43
1,1,1708,1,75368,"65,4,85",78,3,32
1,0,1404,1,76554,"82,8,75",93,3,49
1,1,1799,1,28294,"67,9,20",31,3,92
0,0,712,1,71431,"22,58,72",35,3,6
0,1,1059,2,64985,"95,55,67",45,3,69
1,1,1419,1,74161,"30,18,5",77,3,19
0,1,240,1,78753,"6,76,51",32,3,98
1,0,1665,2,80389,"79,43,10",46,3,66
1,0,1634,1,89267,"19,87,58",55,3,12
1,0,1933,1,27505,"8,77,1",78,3,7
1,1,320,2,24104,"60,30,86",78,3,53
1,1,1853,1,30175,"71,84,100",56,3,57
0,1,708,2,29775,"45,46,46",12,3,16
1,0,1070,2,23680,"81,100,25",96,3,96
0,0,779,2,70308,"56,88,6",93,3,95
0,0,1831,2,67250,"75,72,93",55,3,29
0,0,92,2,91904,"78,63,49",21,3,94
0,1,1819,1,80647,"16,61,99",1,3,23
0,0,1339,2,77463,"32,84,81",79,3,49
1,0,1320,1,82031,"45,28,79",11,3,90
1,1,641,2,81940,"3,98,44",44,3,39
1,1,139,1,82549,"46,35,15",62,3,1
0,0,931,1,16488,"49,72,49",68,3,67
0,0,529,2,95197,"88,56,43",66,3,25
0,0,1630,2,56691,"44,31,14",35,3,32
1,1,96,1,27876,"23,6,29",34,3,46
1,1,120,1,23580,"64,36,59",50,3,35
0,1,453,2,67312,"81,94,37",50,3,69
0,1,547,1,42256,"81,52,59",72,3,42
0,0,1978,1,43504,"34,55,20",60,3,55
0,1,1876,1,27529,"51,91,50",89,3,38
0,0,757,1,48879,"92,22,25",4,3,25
1,1,1556,2,57116,"40,35,37",48,3,49
1,0,1047,1,76583,"68,23,25",93,3,2
1,0,589,1,33568,"46,86,57",93,3,59
1,1,1570,1,32179,"30,32,20",94,3,85
1,1,594,1,99583,"48,55,64",52,3,92
0,1,381,2,86282,"14,100,85",91,3,60
0,0,1496,1,82221,"50,67,15",69,3,9
